LA	Opponente	FGM	FGA	FTM	FTA	TeamFGA	TeamFTA
91	99	11	14	0	0	77	31
106	116	10	20	6	7	72	32
95	105	14	23	10	10	68	28
108	79	5	10	2	2	77	26
86	95	7	17	15	17	74	46
101	77	10	18	5	6	90	28
103	90	6	15	6	6	81	30
82	84	12	19	2	2	74	22
114	102	10	24	10	11	89	28
119	108	9	18	3	5	85	28
95	90	8	15	8	10	73	37
97	113	11	20	11	13	65	39
98	106	7	23	13	14	74	24
115	89	6	11	6	8	82	34
77	79	12	28	11	13	76	43
122	103	5	15	4	4	87	17
103	113	12	27	10	11	86	39
105	107	14	31	9	12	83	34
103	87	10	17	8	9	80	22
108	114	11	24	9	10	84	31
110	117	9	24	12	14	85	18
94	100	16	28	7	10	75	40
107	116	10	24	6	6	84	29
102	96	9	29	11	13	82	28
111	98	12	21	8	9	80	24
101	100	11	24	6	7	88	27
118	115	16	41	0	1	107	14
100	94	14	24	5	7	77	31
114	126	13	24	9	11	83	30
104	87	9	18	8	11	86	28
99	103	14	29	7	10	94	33
102	107	15	25	7	8	76	36
105	112	11	26	4	4	82	27
112	125	8	22	2	2	91	13
105	108	10	24	4	7	95	15
101	116	8	23	10	13	98	22
113	93	9	14	2	4	69	27
104	88	12	19	4	4	84	18
90	99	8	25	2	2	72	28
103	108	10	32	3	3	88	21
83	95	7	22	2	3	81	23
93	106	11	23	7	8	73	32
102	84	7	10	0	0	80	13
105	95	8	12	5	6	74	29
